raceId,driverId,constructorId,rank,points,grid,position,positionOrder,positionText,firstLapChange,pitStops
52,13,6,3,8,1,2,2,2,0,
52,4,1,6,6,4,3,3,3,1,
52,3,3,7,5,10,4,4,4,1,
52,9,2,4,4,7,5,5,5,2,
52,2,2,10,3,6,6,6,6,0,
52,1,1,2,2,2,7,7,7,-6,
52,15,7,8,1,8,8,8,8,1,
52,14,9,13,0,9,9,9,9,-1,
52,6,3,5,0,19,10,10,10,3,
52,23,7,9,0,15,11,11,11,-4,
52,11,8,19,0,18,12,12,12,5,
52,24,5,11,0,14,13,13,13,-7,
52,19,8,14,0,20,14,14,14,3,
53,4,4,3,10,4,1,1,1,2,
53,30,6,2,8,1,2,2,2,0,
53,8,1,8,6,22,3,3,3,9,
53,18,11,5,5,3,4,4,4,-3,
53,31,1,7,4,5,5,5,5,1,
53,17,3,4,3,7,6,6,6,-1,
53,3,3,1,2,12,7,7,7,-9,
53,32,9,10,1,8,8,8,8,-1,
53,13,6,6,0,2,9,9,9,-1,
53,14,9,11,0,13,10,10,10,3,
53,24,5,12,0,15,11,11,11,3,
53,2,2,14,0,10,12,12,12,-9,
53,26,5,9,0,16,13,13,13,2,
53,23,7,16,0,17,14,14,14,1,
53,22,11,15,0,6,15,15,15,1,
53,15,7,18,0,14,16,16,16,-1,
53,33,13,19,0,19,17,17,17,-1,
53,11,8,20,0,20,18,18,18,3,
54,21,4,2,10,1,1,1,1,0,
54,4,4,1,8,7,2,2,2,4,
54,18,11,4,6,2,3,3,3,0,
54,31,1,3,5,5,4,4,4,0,
54,13,6,8,4,21,5,5,5,7,
54,30,6,5,3,14,6,6,6,4,
54,35,2,9,2,10,7,7,7,1,
54,23,7,6,1,22,8,8,8,9,
54,15,7,11,0,9,9,9,9,1,
54,22,11,10,0,20,10,10,10,5,
54,24,5,16,0,13,11,11,11,-4,
54,27,13,18,0,15,12,12,12,-3,
54,33,13,19,0,16,13,13,13,-4,
54,11,8,20,0,17,14,14,14,1,
55,4,4,2,10,3,1,1,1,1,
55,8,1,1,8,4,2,2,2,1,
55,23,7,10,6,6,3,3,3,1,
55,2,2,7,5,8,4,4,4,1,
55,21,4,5,4,2,5,5,5,-17,
55,35,2,13,3,19,6,6,6,8,
55,22,11,6,2,16,7,7,7,2,
55,14,9,12,1,11,8,8,8,-4,
55,26,5,14,0,18,9,9,9,8,
55,18,11,8,0,1,10,10,10,0,
55,27,13,15,0,17,11,11,11,0,
55,11,8,17,0,21,12,12,12,8,
55,34,8,18,0,22,13,13,13,6,
56,30,6,2,10,1,1,1,1,0,
56,4,4,1,8,5,2,2,2,1,
56,31,1,4,6,7,3,3,3,0,
56,13,6,10,5,4,4,4,4,1,
56,8,1,3,4,8,5,5,5,-2,
56,17,3,9,3,10,6,6,6,1,
56,18,11,6,2,2,7,7,7,0,
56,21,4,7,1,11,8,8,8,-1,
56,23,7,5,0,6,9,9,9,0,
56,22,11,13,0,3,10,10,10,-2,
56,3,3,15,0,13,11,11,11,0,
56,35,2,8,0,12,12,12,12,1,
56,2,2,12,0,15,13,13,13,0,
56,24,5,11,0,16,14,14,14,0,
56,26,5,14,0,18,15,15,15,1,
56,33,13,18,0,19,16,16,16,0,
57,30,6,1,10,2,1,1,1,0,
57,4,4,3,8,1,2,2,2,0,
57,13,6,5,6,3,3,3,3,0,
57,8,1,2,5,5,4,4,4,0,
57,22,11,9,4,4,5,5,5,-3,
57,21,4,4,3,11,6,6,6,1,
57,3,3,7,2,22,7,7,7,3,
57,35,2,12,1,9,8,8,8,1,
57,15,7,10,0,7,9,9,9,1,
57,2,2,11,0,13,10,10,10,4,
57,26,5,14,0,17,11,11,11,1,
57,33,13,18,0,18,12,12,12,1,
57,27,13,17,0,16,13,13,13,-2,
