DriverId,DriverName,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
817,Daniel Ricciardo,"9,6,4,12,18,10,1,3,15,16,4,6,4,5,13,10,3,7,4,3,3,5,2,3,14,15,1,13,7,3,19,13,8,3,4,5,13,6,2,18,15,13,1,3,3,9,10,1,2,3,12,7,5,8,5,4,17,7,4,9,4,4,20,13,10,11,8,6,19,12,22,10,13,4,15,6,3,5,3,8,10,5,3,",1,22,4,6,12,7,5.2915026221291814
818,Jean-Ã‰ric Vergne,"11,12,8,8,10,14,12,20,12,8,15,6,8,14,10,14,13,16,12,9,8,12,11,13,16,12,12,8,15,13,13,12,9,",6,20,9,12,13,11,3.0
819,Charles Pic,"15,16,20,14,17,17,20,18,19,15,20,20,15,16,16,17,20,16,12,17,18,",12,20,16,17,19,17,2.0
820,Max Chilton,"17,13,16,15,20,13,19,19,14,14,19,17,16,17,17,16,19,16,20,17,19,19,19,19,18,17,",13,20,16,17,19,17,2.0
821,Esteban GutiÃ©rrez,"13,12,12,18,11,16,11,13,11,20,14,13,14,16,14,11,13,14,15,12,13,19,13,16,14,12,14,14,7,13,20,19,19,11,",7,20,12,14,15,14,2.8284271247461903
822,Valtteri Bottas,"14,5,8,3,11,8,5,5,5,14,8,4,9,3,16,5,4,5,12,14,12,4,14,7,3,3,2,12,2,5,14,2,2,9,8,13,9,3,15,3,9,8,5,15,4,4,6,2,13,7,6,10,6,10,5,11,2,16,17,6,5,10,4,3,8,2,3,5,9,1,",1,17,4,6,10,7,4.2426406871192848
823,Giedo van der Garde,"18,15,21,21,15,18,14,16,18,18,18,18,",14,21,16,18,18,17,2.0
824,Jules Bianchi,"15,13,19,16,18,18,9,17,16,14,15,16,15,18,18,19,18,15,17,17,20,15,",9,20,15,17,18,16,2.2360679774997898
825,Kevin Magnussen,"2,12,9,12,11,12,14,14,10,10,9,16,12,7,17,12,9,16,12,15,13,12,15,10,17,11,13,17,8,9,14,14,14,8,17,8,7,14,",2,17,9,12,14,11,3.3166247903553998
826,Daniil Kvyat,"9,9,10,9,14,11,9,7,12,14,10,10,9,4,14,9,12,9,6,10,15,15,14,2,16,11,9,4,14,12,11,10,12,10,3,11,7,13,11,13,13,4,18,12,16,",2,18,9,11,13,10,3.4641016151377544
828,Marcus Ericsson,"8,14,12,18,14,12,20,14,12,11,11,13,14,15,13,11,14,18,18,10,20,16,17,10,16,20,9,16,18,20,10,16,15,16,13,17,14,15,12,11,18,13,15,15,",8,20,12,14,17,14,3.0
829,Will Stevens,"16,17,17,17,13,16,16,15,15,17,19,16,",13,19,16,16,17,16,1.4142135623730951
